generated,reference,highlight
"
The U.S. Air Force is preparing to release a video of the first combat aircraft to arrive in Iraq this weekend.

The video, which was released by the U.S. Army's unmanned aerial system, shows the aircraft being used for the first time for ""secondary training."" The video shows the aircraft with its ""cannons"" -- a small, red dot that appears to be on the cockpit of the jet.

The military said the aircraft will be used to train pilots on the air defense system, which is being deployed by the United States, to meet the demands of the U.S. military","If you're heading to the Northeast for Thanksgiving, you might want to get an early start.

A nor'easter is expected to pour heavy rain or snow on that part of the United States late Tuesday and cause problems on Wednesday, traditionally the busiest travel day of the year, CNN meteorologists say.

""All of the major metro areas in the Northeast will be impacted by either heavy rain or heavy snow, along with high winds,"" said CNN senior meteorologist Dave Hennen.

He said it's too early to predict which metro areas will be hit hardest, but airport delays are predicted Wednesday in New York","Rain or snow expected to cause travel problems in the Northeast Tuesday, Wednesday. ""I-95 corridor may end up being the dividing line"" between snow, rain, meteorologist says. American Airlines is waiving rebooking charges for travelers using 18 Northeastern airports. AAA expects 46 million people to travel over Thanksgiving, most since 2007."
"
One of the most recent examples of a police investigation led by the Department of Justice into the use of excessive force against a black teenager was this October in Mobile, Alabama, in which the police department detained and questioned two people and charged them with resisting arrest.

It's hardly the first time police have been accused of a crime. In 2011, the department was accused of excessive use of force against a black teenager and charged him with resisting arrest. That video, however, showed no one -- not even the teenager -- resisting arrest.

Last year, the department's chief police officer, Anthony S. Jackson, was charged with","Editor's note: Dan Buettner is the author of ""The Blue Zones: Lessons for Living Longer from the People Who've Lived the Longest."" He spoke at the TEDxTC Event at the Science Museum of Minnesota in September, 2009. His Web site is http://www.bluezones.com/ For more TED Talks, click here

In the same way organisms select for characteristics that favor the survival and well-being of its species over successive generations, so too do cultures. With organisms, we call this process evolution and it represents a sort of accumulated wisdom. There is no word for this process","Researchers looked at regions where people live long lives. Dan Buettner says they found common practices in these ""Blue Zone"" regions. People live longer when they have active physical and social lives, he says. Buettner: Pills, diets aren't as important as having purpose in life."
"The following is a quote from The Sun:

Horses were once the most popular way of life in Australia.

They had a big difference from beef.

They had pigs, goats, goats' milk and milk for much of their life.

They had foraging for their food and waiting to be left with their own equipment.

They had the first to go, the first to die.

They had the first baby to be born, the first-born to be named and the first to die.

Horses and pigs were initially a kind of multi-purpose, service-based"," -- UK police charged a Polish man Tuesday in connection with the defacement over the weekend of a painting by famed artist Mark Rothko at a London museum.

Wlodzimierz Umaniec, 26, will appear in a south London court Wednesday on one count of criminal damage in excess of Â£5,000 (about $8,000), London's Metropolitan Police said.

The suspect, a Polish national who is also known as Vladimir Umanets, has no fixed address, police said. He was arrested late Monday in Worthing, on England's south coast.

The painting",Wlodzimierz Umaniec will appear in court Wednesday charged with criminal damage. A man defaced one of famed artist Rothko's Seagram murals on Sunday. The painting was hanging in London's Tate Modern museum.
"MILWAUKEE -- The Milwaukee Bucks signed veteran center Jason Thompson to a three-year, $5 million deal Monday, the team announced.

The two-time NBA All-Star will receive a $1.5 million signing bonus in return for his services.

""This is the most significant step in our long-term relationship with Jason,"" said general manager Jason Reick.

""I know that he has the ability to develop and develop.""

The 30-year-old Thompson, who had been with the Bucks for a year when Thompson signed a one-year, $3.5 million"," -- The death of Britain's former prime minister Margaret Thatcher has taken up column inches on front pages around the world.

In keeping with the legacy of the ""Iron Lady"", reaction has been split between praise and condemnation, underscoring Thatcher's global impact -- in life and now in death.

Read more: Tributes paid to 'great leader, great Briton'

The English language Buenos Aires Herald said Argentina's government had been silent on the death of Thatcher, who led Britain into the 1982 war over the Falkland Islands, a territory Argentina claims and refers to as Las Malvinas. Thatcher ""was held responsible","Former British prime minister Margaret Thatcher died on Monday, aged 87. During her time in office, the Conservative leader's policies polarized the UK. The ""Iron Lady"" privatized state-run industries and did battle with trade unions. Britain went to war with Argentina over the Falkland Islands during her premiership."
"As the New York Times reported, Jack Gurley, one of the New York police officers who shot and killed a man named Daniel Velazquez, was detained at a police station and later released after police questioned him about the shooting, which occurred in August.

Gurley was on a police alert when he decided to protect his son from a neighbor, who was shot in the head. Gurley was released after police questioned the neighbor and questioned the neighbor about the shooting and the shooting occurred the next day. Gurley could also be charged with murder and other crimes.

Gurley was released on bail pending the outcome"," -- A French court on Wednesday sentenced Manuel Noriega to seven years in prison for money laundering -- but.the former Panamanian dictator could be eligible for parole as early as next year, his lawyer told CNN.

Noriega, who has been a prisoner since being toppled in a U.S. invasion more than 20 years ago, was also fined 2.2 million euros ($2.7 million), the amount he was accused of laundering in drug trafficking profits through French banks.

The former dictator, who was was extradited from the U.S. to France in April, looked shaken and disconsolate",French court sentences Manuel Noriega to seven years in prison. Prosecutor: Noriega turned away from his responsibilities to serve his personal interests. Prosecutors accuse him of laundering 2.3 million euros in drug trafficking profits. Noriega said he was not guilty.
"
In the wake of President Obama's Obamacare repeal, a number of health care advocates have begun debating whether the law should be extended to cover people with pre-existing conditions.

By my count, the health care law does not extend the coverage to Obamacare's individual plans, which are subsidized by the federal government.

Nevertheless, the extent of the coverage order is still uncertain, since the administration doesn't have to keep its promise to extend health insurance to those who have already received subsidies. But the Justice Department is still taking the case, and has already said the individual market is open for everyone.

With the health care","In the United States, a person dies every 19 minutes from a prescription drug overdose. Many of those deaths are attributed to a family of painkillers known as opioids.

In an effort to reduce abuse, the Food and Drug Administration announced on Tuesday that it ""is invoking its authority to require safety labeling changes and post-market studies to combat the crisis of misuse, abuse, addiction, overdose and death from these potent drugs that have harmed too many patients and devastated too many families and communities,"" according to a press release.

The label changes are meant for extended-release or long-acting opioids like oxycodone and hydroc",Prescription drugs are common cause of drug overdose deaths. Opioids such as oxycodone and hydrocodone are often the cause. FDA proposes labels to discourage over-use and misuse of the drugs.
"I'm the only one who knows about the currently known connection between the Android and the Windows operating system. The difference is that I can't find any at all.

The reason is that the Android is running on the same operating system as Windows.

But, Android, on the other hand, is running on the same operating system as Windows.

There is no way to know about the connection between the two operating systems.

The Android is running as a free OS, and it is running on the same operating system as Windows.

In that case, it is probably not a significant issue, but it"," -- From supermarkets to the office supply store, it's hard to miss those tiny bottles of 5-hour Energy.

The makers of 5-Hour Energy call it a ""no-nonsense drink.""

""It would be easier for me to tell you where we didn't sell them in the U.S. than list all the places we do,"" said Carl Sperber, spokesman for Living Essentials, the Detroit, Michigan-based manufacturer of 5-hour Energy shot.

The small, shot-glass size bottles promise to provide energy and alertness without jitters to fatigued Americans. Unlike other popular","5-Hour Energy promises energy, alertness without jitters to fatigued Americans. Each bottle contains caffeine, high doses of B vitamins, and ""energy blend"". Expert: No research of how the ingredients react together."
"USS Ronald Reagan (shown left) and his wife Anne, who were married at the time of their marriage, at the home of the President of the United States Ronald Reagan, in Washington, D.C., U.S., December 18, 1977. (REX/Shannon Stapleton/The Washington Post)

USS Ronald Reagan's wife Anne, who were married at the time of their marriage, at the home of the President of the United States Ronald Reagan, in Washington, D.C., U.S., December 18, 1977.

USS Ronald Reagan (left), and his wife Ann, who were"," -- As outrage flares and more questions are raised over the killing of Michael Brown in Ferguson, Missouri, President Barack Obama increasingly finds himself drawn to the center of the discussion.

Obama has spoken publicly twice about the August 9 shooting of the unarmed African-American teen by a white police officer in the St. Louis suburb, as well as the resulting clashes between protesters and law enforcement. He also released a written statement shortly after Brown was killed.

But he's so far been cautious about wading too deeply into the controversy that is the subject of a local criminal investigation and a separate civil rights probe led by the Justice Department.
","President Obama has spoken publicly twice about the August 9 shooting of teenager by police. He says he has to be careful in how he responds, can't tip the scales one way or another. No plans for Obama to visit Ferguson, but Attorney General Eric Holder will on Wednesday."
"With his new gig in NYC, Partition, and his new album, he would have been happy to give some interviews, but he has instead been working on his own work and has been working on a new song, ""Daddy's New Year.""

Joining us is the two members of their band, who are currently working on their debut album, The Sun Went Down.

""Daddy's New Year"" is the first album we've done with them, and their second album is out June 11th.

You can download their new album, ""Daddy's New Year,"" and check out their new video for it"," -- Israeli sailors boarded two aid ships headed to the Palestinian territory of Gaza on Friday, the Israeli military said.

While no resistance was reported, activists criticized the Israeli action as ""illegal"" and vowed that activists ""will keep coming, wave after wave"" to try to deliver aid to Palestinians in Gaza.

Activists on board the ""Freedom Waves to Gaza"" mini-flotilla were ""attempting to break the maritime security blockade that is in place in accordance with international law,"" the Israeli military said, and were refusing to heed their calls to turn back.

""The boarding was carried out in line with","Activists are from different countries. The ships will be diverted to the Ashdod port, Israel says. Activists will be transferred to the custody of Israeli authorities. No resistance was reported."
"
A major crime occurred in the city of Columbia on Tuesday, Oct. 9.

The Columbia Police Department says a man was shot and killed in the city parking lot at Lincoln Apartments, just east of Columbia City.

As of Friday, police had not released any information about how the man died.

A resident of the Lincoln Apartments told CNN affiliate WCVB-TV that the shooter was a white male.

The victim who died was not identified.

Witnesses told CNN affiliate WBTV that around 7 p.m. Tuesday, Oct. 9, a man approached the man for some money"," -- A total solar eclipse occurred over the northeastern Australian coast early in the morning of November 14 local time.

Clueless about this spectacular astronomical event? No worries, we've got you covered. We're here to explain what causes this remarkable act of nature, what skygazers see and how those outside of Australia can join in the experience.

What exactly is a total solar eclipse?

A solar eclipse happens when the moon, as it orbits Earth, passes directly in front of the sun, obscuring its rays and casting a shadow on Earth's surface. Sometimes referred to as a ""happy accident of nature",A total solar eclipse was visible over Australia's Northern Territories on November 14. The most populated areas within the path of the eclipse are in the Cairns and Great Barrier Reef region. Special eye gear essential and preparation key to taking good pictures.
